ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring
172;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;De docenten reageren vaak niet op vragen, [] is.;De instructie is te algemeen, een meer individuele aanpak zou helpen.;It would be great if there was a clearer protocol for emergency mentoring support.
173;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;It feels like there isn't enough time to properly study everything we are being asked.;Overall, the guidance felt a bit impersonal and lacked personalized attention to our struggles.;Kunnen we een betere online platform krijgen om sneller afspraken te [] met de begeleiders?
174;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;[] checklist [] assignments.;Its incredibly difficult to manage the teacher availability through this clunky platform.;When we raise issues, we need confirmation that someone is actively working on a resolution.
175;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;De deadlines zijn te krap, [] we altijd achter de feiten aanlopen.;We zouden graag meer diepgaande inzichten [] uit relevante bedrijfstakken.;Could the institution consider offering virtual drop-in sessions for instant support?
176;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;[] is te veel werk, de hoeveelheid opdrachten maakt de tijdsplanning echt onmogelijk.;De reactietijd is een groot probleem, we hebben kortere feedbackcycli nodig.;Het was fijn om een veilige plek te hebben om met anderen te praten over studieproblemen.
177;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Seriously, [NAME] needs to speed up the grading, it's impacting my progress.;Het was lastig om vragen te stellen omdat de lesstructuur te strak was voor interactie.;Ik vond de individuele gesprekken over loopbaanpaden erg inspirerend en behulpzaam.
178;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;We zouden meer sessies nodig hebben om de complexe onderwerpen echt goed te kunnen begrijpen.;Zou meer focus willen op het geven van diepgaande, academische feedback.;Het was heel fijn om de carrièredoelen met een professional te bespreken en een plan te maken.
179;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;The pace is excellent, but I'd appreciate more guided practice sessions outside of lecture time.;Honestly, the quality really depends on which mentor you get, perhaps a centralized training module is necessary.;Het is nuttig om te weten welke [] ons programma samenwerken.
180;1;2026/27;Venlo;HBO-ICT;Part-time;Fourth-year;I really appreciate how the professor breaks down complicated theories into manageable chunks.;De reactietijd van de mentoren is echt frustrerend, ik wacht [].;I wish there was a more proactive way to check in with students who seem overwhelmed or struggling.
181;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Ik waardeer de enthousiasme van de docent, [] concepten bleven te abstract [].;[] studenten die remote leren echt achterblijft ten opzichte [].;I feel like some mentors are too busy to provide the deep support we actually need right now.
182;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Het is niet duidelijk wat precies verwacht wordt qua beoordelingscriteria voor dit vak.;[]? De wissel is te groot om te negeren.;[], zodat we op een andere [].
183;2;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;I found the material hard to follow because the explanations jumped between too many different topics.;Ik hoop dat [], want het is nu onmogelijk.;Het was geweldig dat we deze informele, [], connecties konden opbouwen.
184;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Many instructors seem overloaded, leading to inconsistent and rather unhelpful responses.;Het is onprofessioneel om de studenten met [] verschillende docenten [].;[] om met anderen te discussiëren over onze studie erg nuttig.
185;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Could someone clarify the rubric details? I'm confused about the grading expectations.;De mentoren nemen echt initiatief, wat super fijn is voor studeren.;This sense of belonging fostered by peers really improved my overall student experience at the school.
186;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;Honestly, [] praktijkgerichte lessen zou het leren enorm verbeteren.;It's impossible to establish a rapport when the instructor changes [].;[]open' consultatiedag per week helpen, zodat we flexibeler kunnen zijn.
187;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Can they make their availability clearer? We often miss them when we need help most.;I really feel that the response time from the mentors is a major issue.;De carrièreworkshops waren echt nuttig, ik weet nu precies [] bewandelen.
188;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;De contacturen waren te beperkt om de diepgang [] voldoende te verkennen.;Het netwerk dat de docenten opbouwen is onbetaalbaar [].;De begeleiding voelt heel ondersteunend, en ik voel me [].
189;1;2026/27;Eindhoven;ICT & Business;Part-time;First-year;I think the workload distribution needs adjustment, [] are far too demanding.;[] individuele aandacht zou echt het leerproces verbeteren, dat is [].;It would be amazing if you could organize more simulated job interviews with industry experts.
190;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Zou iemand kunnen vragen of [NAME] de beoordeling kan versnellen, please?;[].;Er zou meer aandacht kunnen zijn voor de balans tussen studeren en ontspannen.
191;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;The online submission system needs a major overhaul because it often times out.;Er is een duidelijke kloof tussen de fysieke en virtuele studentenservaring, die moet worden gedicht.;I really wish the check-ins happened more consistently, maybe [].
192;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;[], [] [] in de details.;Their advice sometimes felt generic, almost like it was read from a textbook.;[] consistent check-in schema te hanteren?
193;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;More study time is needed, otherwise the assignments feel overwhelming and impossible to finish.;De ondersteuning is top, het voelt alsof je altijd begeleid wordt door experts.;The guidance I received on electives was spot on and has improved my overall understanding.
194;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Het is frustrerend dat feedback [] duurt voordat er een reactie komt.;Het is lastig om die verbinding te [] is bedoeld.;[] was over work-life balance en grenzen stellen.
195;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;Het is echt frustrerend hoe lang [NAME] feedback op de tentamens duurt.;Why do mentors take so long to respond? It seriously impacts my ability to keep up with coursework.;I think [] check-ins would provide a much more steady sense of support.
196;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Could the instructors provide clearer guidelines? We struggle with the unwritten rules.;It would greatly benefit us if the department could maintain a consistent teaching staff, it helps tremendously.;Creating more structured social events for different departments would be excellent.
197;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Nog steeds wachten op Smith's cijfers, dit tempo is echt te traag.;Could the institution please fix the scheduling system? It never works properly.;De peer support groepen hielpen me [] begrijpen.
198;1;2026/27;Tilburg;Artificial Intelligence;Part-time;Second-year;Het lijkt erop dat de lesroosters en verwachtingen niet altijd goed worden gecommuniceerd.;We need more prompt feedback from the teaching staff, waiting [] for replies is unacceptable.;Having more readily available support options would alleviate much of the current stress.
199;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Het is onacceptabel dat de correcties van [NAME] zo lang duren voor zo'n vak.;[] meer flexibele en diepgaande discussies konden leiden.;De cursussen over persoonlijke branding waren super, ik voel me [] gerichter in [].
200;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Ik waardeer de hoge kwaliteit [] de docenten delen.;We need more individualized feedback sessions to genuinely improve our understanding.;[] flexibele kantooruren zouden hebben voor afspraken.
201;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Smith's grading speed is unacceptable, we need timely assessments to keep progressing.;Kunt u ervoor zorgen dat de docenten meer op ons als individu ingaan tijdens de lessen?;I wish there were more casual, informal drop-in sessions for quick emotional check-ins.
202;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;[] dat we wat meer uren krijgen voor deze vakken, alstublieft?;Het is echt frustrerend wanneer [] in de inbox blijven hangen.;Het is fijn dat er [], [] stress.
203;2;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;The programme could benefit from incorporating more discussions on global feminist theory.;[] wisselen van begeleiders is frustrerend en belemmert echt het leerproces van de studenten.;We zouden baat hebben bij een structuur die emotionele dumping erkent en beheert.
204;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;[], dat is teleurstellend.;Overall helpful, but the quality varies significantly depending on who you get.;Could the mentors provide more specific examples of where I need to improve my critical thinking skills?
205;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;[], want het is echt te weinig.;Zeker meer training over conflicthantering en academische verwachtingen voor de student-mentoren.;[], [] is.
206;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;We need a clearer timeline for grading, [NAME]’s delays make it hard to progress.;The quality of mentorship suffers significantly when the teachers keep changing every semester.;The responsiveness when academic conflicts arose was disappointingly slow and unhelpful.
207;1;2026/27;Den Bosh;Cyber Security;Part-time;Third-year;Smith's grading process seems unnecessarily slow, which is making the learning experience frustratingly difficult.;[] met ons.;[] we een mentor-pool hadden, zodat we iemand kunnen vinden die [].
208;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;[] op feedback over [], het is erg frustrerend.;Ik had gehoopt op meer directe en snelle ondersteuning van de docenten en mentoren.;I appreciate the resources provided for advanced research skills, it greatly improved my approach.
209;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;Het tempo was te hoog en ik miste meer [] materie te verwerken.;De focus op 'ter plaatse' lijkt de mensen op afstand te vergeten, [] is.;Kunt u overwegen om de frequentie van de begeleidingsgesprekken iets te verhogen?
210;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Ik denk dat er meer flexibiliteit in de beoordelingsschema's nodig is.;Het is geweldig dat de begeleiders zo toegankelijk zijn en altijd [].;Het netwerk evenement hielp me [].
211;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Smith’s grading speed is unacceptable, I really need better feedback on this module.;It's difficult to get meaningful help when the instruction is delivered to so many students.;De momenten van begeleiding [], [].
212;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;[], het is te veel voor één semester.;Het gebrek aan interactie in de grotere colleges vermindert de leerervaring aanzienlijk.;Ik hoop dat de beschikbaarheid van mentoren tijdens piekuren iets [].
213;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;Het is jammer dat het contact nog zo weinig is, we zouden meer oefening kunnen gebruiken.;I recommend refreshing the curriculum for student mentors to improve depth.;More focused sessions on specific industries, like tech, would be beneficial.
214;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Could we please get more in-person time? The current schedule feels too spread out.;Could the communication turnaround time for academic advising be drastically improved?;De begeleiding bij het kiezen van vakken was precies wat ik nodig had op dit moment.
215;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;Could the teachers dedicate more time to addressing our basic conceptual misunderstandings?;I wish there was a more supportive, smaller-scale mentoring structure available.;De kleine blijkjes [] [].
216;2;2026/27;Venlo;Software Engineering;Part-time;Fourth-year;The sheer volume of assignments makes effective time management almost impossible to achieve.;I feel the mentors should receive more formal training on conflict resolution skills.;Het was fijn om een rustig gesprek te hebben over [] studiekeuzes en keuzes.
217;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;De diepgang van de stof is echt indrukwekkend, de docenten koppelen theorieën perfect aan de praktijk.;[] planning is nodig, de wachttijd op antwoorden is echt een enorme [] stress.;[] is, [] [].
218;2;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;We desperately need more time to review the modules, the pace feels overwhelmingly fast currently.;[] gegeven [], niet op maat gemaakt voor individuele behoeften.;Ik voelde me goed ondersteund met de cursuskeuzes en de algemene studierichting.
219;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;De docenten stimuleren echt kritisch denken, [] is [] bijbrengen.;[] [].;Thank you for consistently acknowledging our progress, it really makes a difference.
220;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;De docenten lijken [] wijzigingen, [].;The varying information from different teachers is making it hard to know what is correct.;Wanneer ik problemen meld, [].
221;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;I feel like my questions often go unanswered, and I'm unsure when I can expect a follow-up.;More dedicated time with alumni who are successful in our target industry would be wonderful.;Getting insights into different career trajectories makes my future planning much less daunting.
222;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Het gebrek aan duidelijke feedback loop [] stress.;Kunt u meer groepsactiviteiten organiseren die speciaal zijn ontworpen voor de remote leerlingen?;[] op studentenvragen via e-mail.
223;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Kunnen we meer [] over hoe de praktijkopdrachten worden gewaardeerd?;[] focus op academische vaardigheden, in plaats van alleen algemeen advies, moeten liggen.;I wish there were more defined milestones for the project, so I knew exactly what progress was expected.
224;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;I really appreciate the interactive sessions, it keeps the material engaging and memorable.;I really wish the support system offered more immediate help for urgent academic queries.;It would be really helpful if mentors could offer a few more flexible appointment slots.
225;1;2026/27;Eindhoven;HBO-ICT;Part-time;First-year;The limited lecture hours made it difficult to grasp some of the advanced practical topics fully.;[] we meer sessies over carrièregroei en het vinden van een baan konden hebben.;The networking opportunities with peers helped me feel less isolated in my studies, which was great.
226;2;2026/27;Tilburg;Software Engineering;Full-time;Second-year;Het is lastig om afspraken [], de beschikbare office [] [].;Their initiative to check up on our progress really shows they care about our learning journey.;De medewerkers waren zo aanmoedigend, het maakte het makkelijker om gemotiveerd te blijven.
227;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Honestly, we feel quite disappointed by the insufficient teaching [] provided [].;Ik pleit voor meer gekoppelde sessies met docenten om echt te kunnen sparren.;It feels like we are constantly fighting for [] of the mentor’s time.
228;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Het rooster lijkt te krap, we hebben meer uren nodig om optimaal te presteren.;The scheduling system is always glitchy, especially when everyone tries to book at the same time.;Het is geweldig dat er een centrale plek is voor CV-feedback van diverse professionals.
229;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;The excessive delay in grading by [NAME] is causing unnecessary stress among the students.;I really appreciate how the mentors reached out before we even realized we needed assistance.;Having other students to talk to made the entire experience feel much less overwhelming.
230;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;We zouden meer directe communicatie op verschillende kanalen willen, niet alleen e-mail.;De instructeurs moeten meer aandacht besteden aan het persoonlijke leerproces van de student.;The emotional check-ins are helpful, yet I wish there were more options for group therapy.
231;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Honestly, the feedback was vague, and I am unsure what I need to improve [].;The guest speakers' advice on portfolio building was genuinely inspiring to the class.;[] we real-time feedback over de mentorbelasting krijgen.
232;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;De feedback was te algemeen om echt te [] ik aan [], echt frustrerend.;Ik merk dat het gebrek aan persoonlijke aandacht onze academische ontwikkeling beperkt.;[], niet alleen focus op cijfers.
233;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;The rubrics given seem inconsistent with the actual assignments we had to complete throughout the term.;The turnaround time for email responses feels incredibly slow and unsupportive.;Ik waardeer enorm de erkenning [], het motiveert mij echt verder.
234;1;2026/27;Tilburg;ICT & Business;Part-time;Second-year;[] tempo van [NAME] bij [] assignments.;I wish the support staff would reply to urgent inquiries more promptly.;My mentor gave excellent tips about choosing advanced coursework that I wasn't aware of.
235;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;[NAME] grading is always a huge bottleneck, we need a much faster system, please?;[] alternatieve manier nodig hebben om te boeken, want [] is te overbelast.;These peer-led workshops gave me practical insights and really strengthened my sense of belonging here.
236;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;The professors manage to keep the material engaging while maintaining rigorous academic standards.;I really feel that personalized guidance makes a huge difference, which we are currently missing.;We need a system where follow-up on reported issues is guaranteed and timely.
237;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Teachers should provide clearer guidelines, de deadlines zijn vaak vaag gecommuniceerd.;Ik waardeer enorm dat ze niet wachten tot we vragen, [] aanbieden.;More guidance on advanced interview skills and negotiating starting salaries would be beneficial.
238;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;I feel the material is heavily biased towards a Western academic tradition, more variety is needed.;Seriously, de response time [] is compleet onacceptabel voor dit tempo.;I appreciate the detailed guidance regarding optimal module selection for my major.
239;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;It would be helpful if the teaching acknowledged intersectionality across various social groups.;[] [] is wanneer we het meest nodig hebben.;Het was geweldig om andere [], de peer-to-peer connecties waren echt waardevol.
240;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Het was erg leerzaam, [] was [] toegepaste waarde.;[] heel nuttig zijn als de docenten meer over [] zouden vertellen.;De cursus is toegankelijk, maar het zou meer respect [].
241;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;De deadlines komen te [] opdrachten zijn te zwaar voor een normale studiestudent.;[] helpen is een vaste, ervaren mentor [], please?;Het is soms lastig om een afspraak te krijgen vanwege hun drukke schema.
242;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Honestly, [NAME]'s grading speed is making the whole course feel unpredictable and stressful.;Kunnen we een verwachting instellen voor maximale reactietijd op studentvragen?;I wish the student services department responded to emails more promptly and thoroughly.
243;1;2026/27;Den Bosh;Artificial Intelligence;Part-time;Third-year;Ik verwachtte meer interactiemomenten, de uren voelen krap en te overweldigend.;The unpredictable faculty changes really impact the learning curve, please consider keeping mentors steady.;[] over studieleningen vaak in een black hole verdwijnen.
244;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Please address [NAME]'s grading pace, this slow feedback cycle is truly hindering our progress.;Het is moeilijk om complexe vragen te stellen als de aandacht constant verspreid is over de hele groep.;[] buddy-systeem te implementeren, zodat er meer [].
245;2;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;[] per week zou onze leerervaring enorm verbeteren en helpen.;Het is ontzettend frustrerend om elk jaar drie andere mentoren [], consistentie ontbreekt.;Ik kreeg helderheid over de vereiste vaardigheden voor mijn gekozen academische richting.
246;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;The way the instructors connect theory to industry challenges is truly outstanding and helpful.;I believe personalized mentoring would help me bridge the gap in my learning experience.;It would be great to have a more predictable schedule for support meetings.
247;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;The instructors' responsiveness outside class time is frankly unacceptable for a program like this.;[] is te moeilijk om een geschikt moment te vinden door de beperkte opties.;Generally inclusive, but understanding varying cultural norms in communication would help a lot.
248;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;We need clarity on why [NAME]'s grading takes so long, it impacts our planning.;[] er []? Wachten is echt niet praktisch.;Het systeem is goed, [] over de beschikbare emotionele hulp mist wat duidelijkheid.
249;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;[] is te [], de balans tussen studie en leven raakt verstoord.;De feedback die [], was erg algemeen en paste niet bij onze individuele leerstijl.;[], complimenteuze gesprekken met mentoren graag zien.
250;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;De enthousiaste en deskundige docenten zorgen voor een leerervaring die mij inspireert.;[] focus op case studies die direct [].;Guidance on professional networking and utilizing LinkedIn would significantly boost our job readiness.
251;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;De casestudies waren fantastisch en lieten zien hoe de theorie in de praktijk werkt.;Ik heb mijn vragen al weken gestuurd en nog steeds geen inhoudelijk antwoord ontvangen. [] is frustrerend.;[] [] is.
252;2;2026/27;Venlo;Cyber Security;Part-time;Fourth-year;The communication regarding assignments was consistently unclear, making it hard to keep up.;We need more personalized feedback, the current format is too generalized for deep learning.;De karrièregidsen waren echt waardevol [].
253;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;[] aandacht willen voor verschillende culturele perspectieven in de lesstof, [] is nodig.;I wish the teachers could be more approachable and available for informal discussions.;[], ik hoop op meer diversiteit in de verhalen op campus.
254;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;[] [] diverse genders binnen de geschiedenis zijn vertegenwoordigd.;Er miste een echte dialoog, en de lesvoering kwam over als een geautomatiseerde voorleesact.;[] om even te rusten en te ontspannen.
255;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;I often feel lost because the answers to basic questions are so difficult to reach.;[] individuele studenten.;Ik voel me opgenomen, [] ondersteuning willen voor mijn specifieke cultuur.
256;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;I think more allocated time for review and problem-solving would make a huge difference.;We moeten een duidelijker protocol hebben voor reactietijden om studiestress te verminderen.;Graag meer georganiseerde sessies waar studenten elkaar kunnen ondersteunen.
257;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;It's really frustrating when we ask clarifying questions and receive vague or delayed answers.;Some of the mentors seemed unprepared for the subject matter.;[] quiz of poll tussen de sessies om te zien waar we vastlopen, dat is [] check-in.
258;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;The professors do an excellent job connecting complex theory with actual industry practices, which I appreciate.;[] stabieler team te creëren, de huidige rotatie is erg demotiverend voor studenten.;De begeleiding rond stages was perfect en hielp me [] sector.
259;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;We need more emphasis on non-Western voices when discussing historical events in the curriculum.;[] met al die verschillende docenten, we hebben één vaste structuur nodig.;More consistent check-ins would make a huge difference in my academic motivation and progress.
260;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Honestly, the workload seems unsustainable for a full-time student like me.;De instructeurs geven [] die [].;[] evenementen geweldig, het versterkte het gevoel van saamhorigheid enorm.
261;2;2026/27;Eindhoven;Software Engineering;Part-time;First-year;Ik vond het aantal contacturen echt te weinig om alle onderwerpen goed te kunnen behandelen.;I think the feedback provided on assignments could be more actionable and less general.;[] sessies over het onderhandelen van salarissen zouden echt een helpende hand zijn.
262;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;[] we minder wekenlange projecten krijgen? [] me constant achter de feiten aan.;[].;Het advies over vakkeuze was zeer specifiek en hielp [].
263;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Could the institution improve the communication []? They are often inaccurate.;De ondersteuning is prima, maar een duidelijker structuur zou het nog verbeteren.;De ondersteuning is prima, hoewel de culturele diversiteit soms over het hoofd wordt gezien.
264;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;[].;We really need faster replies on technical queries, [] is too long a time.;Kunnen we een checklist krijgen die laat zien wat we precies moeten opleveren om een goed cijfer te halen?
265;2;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;De leeromgeving [] chaotisch door slecht onderhouden online resources.;Het is echt frustrerend dat het soms weken duurt voor een antwoord van de mentoren.;Having dedicated peer mentors really made a difference, helping me understand the tricky aspects of the curriculum.
266;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;De docenten zijn te druk om echt beschikbaar te zijn voor studenten die extra hulp nodig hebben.;Please dedicate more effort to maintaining a stable faculty roster for this program.;Zouden we een grotere open avond willen met directe Q&A over studentwelzijn?
267;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Could the faculty consider adding an extra session [], please?;Ze hadden meer aandacht moeten besteden aan de praktische toepassing van de theorie in de dagelijkse praktijk.;Het gevoel dat er mensen geloven in [] is de grootste stimulans [].
268;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;De online leerplatform werkt vaak traag en is lastig te navigeren, echt frustrerend.;Honestly, the delayed responses from the mentors significantly impact my academic progress.;[] met [] per module, please.
269;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;De contacturen zijn te [] diepgaand begrijpen [] vakgebied.;[]alumni'-sessies te organiseren, met mensen die al in de sector werken?;Het was fijn om te horen van professionals, ik kreeg veel inspiratie voor mijn verdere studie.
270;2;2026/27;Tilburg;HBO-ICT;Part-time;Second-year;Kunnen we meer specificiteit krijgen over []voldoende' beoordeling precies inhoudt in []?;The mentors' reply speed is genuinely concerning, urgent queries often go unanswered for too long.;[] over omgaan met studiestress en grenzen.
271;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Het is frustrerend dat we zo vaak moeten [].;[] online booking verhogen? Het is constant overboekt.;[], minimale frequentie van contact te hebben.
272;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;De begeleiding is top, we voelen ons echt uitgedaagd op het juiste niveau.;[] groepsactiviteiten willen waarbij de mentoren de discussie leiden.;[] was echt waardevol, het voelde als een tweede familie.
273;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;De docent uitleg is helder, maar de praktische voorbeelden zouden meer variatie moeten hebben.;Kunnen de mentoren [] verbeteren? [].;I appreciate the talks, but I'd like more continuous, personalized follow-up support for my mental health.
274;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;[] we de docenten [] we vragen hebben.;[] docent is, [] verandering.;My mentor was fantastic and helped me narrow down my options for my final thesis project.
275;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;[] [NAME] beoordeling, dit is [].;[] graag feedback geven om meer case studies van echte bedrijven te zien, dat is super nuttig.;It feels like we only check in when things go wrong, not proactively enough.
276;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Ik hoop dat de communicatie over nieuwe modules duidelijker wordt en niet zo wisselvallig.;Het is een goede initiatief, [] is niet altijd duidelijk.;Het is fijn dat de mentoren openstaan voor verschillende levensstijlen en achtergronden.
277;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Kunnen jullie een betere uitleg [] beoordelingsmatrix voordat de volgende opdracht komt?;[]-initiatieven en discussies.;Kunt u het proces voor het melden van psychologische hulpvereisten versnellen? Het is nu te traag.
278;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Smith's grading turnaround time is completely unacceptable and causing real concern among peers.;It feels unprofessional to switch mentors so frequently, we need consistent guidance.;De focus op mentaal welzijn was goed, [] toegankelijk en laagdrempelig kunnen zijn.
279;1;2026/27;Den Bosh;ICT & Business;Part-time;Third-year;Could the teaching staff ensure all promised resources are posted by the specified deadline?;Ik waardeer het enorm dat de docenten proactief checken of [] begrijpen.;Ik waardeer enorm de erkenning die ik [], het motiveert me echt om door te gaan.
280;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;[] werkverdeling onrealistisch en te intensief is.;[].;De workshops over professionele presentatievaardigheden waren zeer nuttig voor mijn CV en sollicitaties.
281;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Overall, de docenten zijn erg toegankelijk en nemen de tijd om vragen te beantwoorden.;I wish there was a clearer protocol for timely communication and urgent queries.;Kortom, de academische richtinggevende sessies waren zeer waardevol en duidelijk geformuleerd.
282;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;De docenten [], [] met [] overzichtsvragen [].;[] begeleiding?;[] in de beschikbaarheid van de begeleiders zou de leerervaring verbeteren.
283;2;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;More representation in the case studies from global [LOCATION] perspectives would be greatly appreciated.;Thank you for bringing in alumni who can guide us on career trajectories.;Het netwerk evenement was super nuttig om [] vakgebied.
284;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;De uren voor advies zijn vaak lastig te plannen, waardoor studenten zich ongestuurd voelen.;[] in [] academische vragen.;It would be really helpful if mentor appointments were available outside of [].
285;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;We need better coordination, the materials are often scattered across multiple unreliable platforms.;I waste so much time refreshing the page just to find a spot.;Maybe we could implement a mandatory bi-[] virtual meeting just to keep everyone connected.
286;2;2026/27;Tilburg;Software Engineering;Full-time;Second-year;We need more emphasis on intersectionality rather than treating diversity as separate topics.;Het was moeilijk om [], want de instructie was te algemeen en niet specifiek genoeg.;De begeleiding bij het kiezen van een specialisatie was precies wat ik nodig had.
287;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Kunnen we flexibeler zijn met []? We hebben meer directe interactie nodig met de docenten.;Is er een manier om snellere []? Het wachten is erg demotiverend.;Kunnen we meer structurele begeleiding bieden voor die specifieke stress van de toekomst?
288;2;2026/27;Venlo;Artificial Intelligence;Part-time;Fourth-year;[] door het beperkte aantal colleges, [].;Honestly, this mentor turnover rate is detrimental to our actual learning experience.;Het beleid is goed, [] support willen over culturele identiteitsproblematiek.
